dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,-0.000100,11.080000,0.000000,0.000175,0.034965,6.993007,0.000092
0.005000,-0.000100,11.080000,0.000000,0.000003,-0.034266,-13.846166,0.000092
0.005000,-0.000100,11.080000,0.000000,0.000008,0.000874,7.027969,0.000092
0.005000,-0.000100,11.080000,0.000001,0.000014,0.001224,0.069923,0.000092
0.005000,-0.000100,11.080000,0.000001,0.000022,0.001573,0.069922,0.000092
0.005000,-0.000099,11.080000,0.000001,0.000031,0.001923,0.069920,0.000092
0.005000,-0.000099,11.080000,0.000001,0.000043,0.002272,0.069917,0.000092
0.005000,-0.000099,11.080000,0.000001,0.000056,0.002622,0.069913,0.000092
0.005000,-0.000099,11.080000,0.000002,0.000071,0.002972,0.069908,0.000091
0.005000,-0.000098,11.080000,0.000002,0.000087,0.003321,0.069902,0.000091
0.005000,-0.000098,11.080000,0.000003,0.000106,0.003671,0.069893,0.000090
0.005000,-0.000097,11.080000,0.000003,0.000126,0.004020,0.069883,0.000090
0.005000,-0.000096,11.080000,0.000004,0.000148,0.004369,0.069871,0.000089
0.005000,-0.000095,11.080000,0.000005,0.000171,0.004719,0.069857,0.000088
0.005000,-0.000094,11.080000,0.000006,0.000197,0.005068,0.069840,0.000087
0.005000,-0.000093,11.080000,0.000007,0.000224,0.005417,0.069821,0.000086
0.005000,-0.000092,11.080000,0.000008,0.000253,0.005766,0.069799,0.000085
0.005000,-0.000091,11.080000,0.000010,0.000283,0.006115,0.069774,0.000084
0.005000,-0.000089,11.080000,0.000011,0.000315,0.006464,0.069746,0.000082
0.005000,-0.000087,11.080000,0.000013,0.000349,0.006812,0.069715,0.000081
0.005000,-0.000085,11.080000,0.000015,0.000385,0.007160,0.069680,0.000079
0.005000,-0.000083,11.080000,0.000017,0.000423,0.007509,0.069641,0.000077
0.005000,-0.000081,11.080000,0.000019,0.000462,0.007857,0.069599,0.000075
0.005000,-0.000078,11.080000,0.000022,0.000503,0.008204,0.069553,0.000073
0.005000,-0.000076,11.080000,0.000025,0.000546,0.008552,0.069502,0.000070
0.005000,-0.000073,11.080000,0.000028,0.000590,0.008899,0.069447,0.000067
0.005000,-0.000070,11.080000,0.000031,0.000637,0.009246,0.069388,0.000064
0.005000,-0.000066,11.080000,0.000034,0.000685,0.009593,0.069324,0.000061
0.005000,-0.000062,11.080000,0.000038,0.000734,0.009939,0.069255,0.000058
0.005000,-0.000059,11.080000,0.000042,0.000786,0.010285,0.069180,0.000054
0.005000,-0.000054,11.080000,0.000046,0.000839,0.010630,0.069101,0.000050
0.005000,-0.000050,11.080000,0.000050,0.000894,0.010976,0.069016,0.000046
0.005000,-0.000045,11.080000,0.000055,0.000950,0.011320,0.068925,0.000042
0.005000,-0.000040,11.080000,0.000060,0.001009,0.011664,0.068828,0.000037
0.005000,-0.000035,11.080000,0.000066,0.001069,0.012008,0.068726,0.000032
