dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000000,10.000000,0.000000,0.000175,0.034965,6.993007,0.000092
0.005000,0.000000,10.000000,0.000002,0.000524,0.069930,6.993007,0.000092
0.005000,0.000000,10.000000,0.000006,0.001049,0.104895,6.993007,0.000092
0.005000,0.000000,10.000000,0.000013,0.001748,0.139860,6.993007,0.000092
0.005000,0.000000,10.000000,0.000024,0.002622,0.174825,6.993007,0.000092
0.005000,0.000000,10.000000,0.000040,0.003671,0.209790,6.993007,0.000092
0.005000,0.000000,10.000000,0.000061,0.004895,0.244755,6.993007,0.000092
0.005000,0.000000,10.000000,0.000089,0.006294,0.279720,6.993007,0.000092
0.005000,0.000000,10.000000,0.000125,0.007867,0.314685,6.993007,0.000091
0.005000,0.000000,10.000000,0.000168,0.009615,0.349650,6.993007,0.000091
0.005000,0.000000,10.000000,0.000221,0.011538,0.384615,6.993007,0.000090
0.005000,0.000000,10.000000,0.000284,0.013636,0.419580,6.993007,0.000090
0.005000,0.000000,10.000000,0.000358,0.015909,0.454545,6.993007,0.000089
0.005000,0.000000,10.000000,0.000444,0.018357,0.489510,6.993007,0.000088
0.005000,0.000000,10.000000,0.000542,0.020979,0.524476,6.993007,0.000087
0.005000,0.000000,10.000000,0.000654,0.023776,0.559441,6.993007,0.000086
0.005000,0.000000,10.000000,0.000780,0.026748,0.594406,6.993007,0.000085
0.005000,0.000000,10.000000,0.000922,0.029895,0.629371,6.993007,0.000084
0.005000,0.000000,10.000000,0.001080,0.033217,0.664336,6.993007,0.000082
0.005000,0.000000,10.000000,0.001254,0.036713,0.699301,6.993007,0.000081
0.005000,0.000000,10.000000,0.001447,0.040385,0.734266,6.993007,0.000079
0.005000,0.000000,10.000000,0.001659,0.044231,0.769231,6.993007,0.000077
0.005000,0.000000,10.000000,0.001890,0.048252,0.804196,6.993007,0.000075
0.005000,0.000000,10.000000,0.002142,0.052448,0.839161,6.993007,0.000073
0.005000,0.000000,10.000000,0.002415,0.056818,0.874126,6.993007,0.000070
0.005000,0.000000,10.000000,0.002710,0.061364,0.909091,6.993007,0.000067
0.005000,0.000000,10.000000,0.003029,0.066084,0.944056,6.993007,0.000064
0.005000,0.000000,10.000000,0.003372,0.070979,0.979021,6.993007,0.000061
0.005000,0.000000,10.000000,0.003739,0.076049,1.013986,6.993007,0.000058
0.005000,0.000000,10.000000,0.004132,0.081294,1.048951,6.993007,0.000054
0.005000,0.000000,10.000000,0.004552,0.086713,1.083916,6.993007,0.000050
0.005000,0.000000,10.000000,0.005000,0.092308,1.118881,6.993007,0.000046
0.005000,0.000000,10.000000,0.005476,0.098077,1.153846,6.993007,0.000042
0.005000,0.000000,10.000000,0.005981,0.104021,1.188811,6.993007,0.000037
0.005000,0.000000,10.000000,0.006517,0.110140,1.223776,6.993007,0.000032
0.005000,0.000000,10.000000,0.007083,0.116434,1.258741,6.993007,0.000027
0.005000,0.000000,10.000000,0.007681,0.122902,1.293706,6.993007,0.000021
0.005000,0.000000,10.000000,0.008313,0.129545,1.328671,6.993007,0.000016
0.005000,0.000000,10.000000,0.008977,0.136364,1.363636,6.993007,0.000009
0.005000,0.000000,10.000000,0.009677,0.143357,1.398601,6.993007,0.000003
0.005000,0.000411,10.000000,0.010411,0.150524,1.433566,6.993007,6.283182
0.005000,0.001182,10.000000,0.011182,0.157867,1.468531,6.993007,6.283174
0.005000,0.001990,10.000000,0.011990,0.165385,1.503497,6.993007,6.283167
0.005000,0.002837,10.000000,0.012837,0.173077,1.538462,6.993007,6.283159
0.005000,0.003722,10.000000,0.013722,0.180944,1.573427,6.993007,6.283151
0.005000,0.004646,10.000000,0.014646,0.188986,1.608392,6.993007,6.283142
0.005000,0.005612,10.000000,0.015612,0.197203,1.643357,6.993007,6.283134
0.005000,0.006619,10.000000,0.016619,0.205594,1.678322,6.993007,6.283124
0.005000,0.007668,10.000000,0.017668,0.214161,1.713287,6.993007,6.283115
0.005000,0.008761,10.000000,0.018761,0.222902,1.748252,6.993007,6.283105
0.005000,0.009898,10.000000,0.019898,0.231818,1.783217,6.993007,6.283094
0.005000,0.011080,9.999999,0.021080,0.240909,1.818182,6.993007,6.283083
0.005000,0.012307,9.999999,0.022307,0.250175,1.853147,6.993007,6.283072
0.005000,0.013582,9.999999,0.023582,0.259615,1.888112,6.993007,6.283060
0.005000,0.014904,9.999999,0.024904,0.269231,1.923077,6.993007,6.283048
0.005000,0.016274,9.999999,0.026274,0.279021,1.958042,6.993007,6.283035
0.005000,0.017694,9.999999,0.027694,0.288986,1.993007,6.993007,6.283022
0.005000,0.019165,9.999998,0.029165,0.299126,2.027972,6.993007,6.283009
0.005000,0.020686,9.999998,0.030686,0.309441,2.062937,6.993007,6.282995
0.005000,0.022260,9.999998,0.032260,0.319930,2.097902,6.993007,6.282981
0.005000,0.023886,9.999997,0.033886,0.330594,2.132867,6.993007,6.282966
0.005000,0.025566,9.999997,0.035566,0.341434,2.167832,6.993007,6.282950
0.005000,0.027301,9.999997,0.037301,0.352448,2.202797,6.993007,6.282934
0.005000,0.029091,9.999996,0.039091,0.363636,2.237762,6.993007,6.282918
0.005000,0.030937,9.999996,0.040937,0.375000,2.272727,6.993007,6.282901
0.005000,0.032841,9.999995,0.042841,0.386538,2.307692,6.993007,6.282884
0.005000,0.034803,9.999994,0.044803,0.398252,2.342657,6.993007,6.282866
0.005000,0.036824,9.999994,0.046824,0.410140,2.377622,6.993007,6.282847
0.005000,0.038905,9.999993,0.048905,0.422203,2.412587,6.993007,6.282828
0.005000,0.041047,9.999992,0.051047,0.434441,2.447552,6.993007,6.282809
0.005000,0.043250,9.999991,0.053250,0.446853,2.482517,6.993007,6.282789
0.005000,0.045516,9.999990,0.055516,0.459441,2.517483,6.993007,6.282768
0.005000,0.047845,9.999989,0.057845,0.472203,2.552448,6.993007,6.282747
0.005000,0.050238,9.999988,0.060238,0.485140,2.587413,6.993007,6.282725
0.005000,0.052697,9.999987,0.062697,0.498252,2.622378,6.993007,6.282703
0.005000,0.055221,9.999986,0.065221,0.511538,2.657343,6.993007,6.282680
0.005000,0.057812,9.999985,0.067813,0.525000,2.692308,6.993007,6.282656
0.005000,0.060472,9.999983,0.070472,0.538636,2.727273,6.993007,6.282632
0.005000,0.063199,9.999982,0.073199,0.552448,2.762238,6.993007,6.282607
0.005000,0.065996,9.999980,0.075997,0.566434,2.797203,6.993007,6.282582
0.005000,0.068864,9.999978,0.078864,0.580594,2.832168,6.993007,6.282556
0.005000,0.071803,9.999976,0.081803,0.594930,2.867133,6.993007,6.282530
0.005000,0.074814,9.999974,0.084814,0.609441,2.902098,6.993007,6.282502
0.005000,0.077898,9.999972,0.087898,0.624126,2.937063,6.993007,6.282475
0.005000,0.081055,9.999970,0.091056,0.638986,2.972028,6.993007,6.282446
0.005000,0.084288,9.999967,0.094288,0.654021,3.006993,6.993007,6.282417
0.005000,0.087596,9.999965,0.097596,0.669231,3.041958,6.993007,6.282387
0.005000,0.090981,9.999962,0.100981,0.684615,3.076923,6.993007,6.282357
0.005000,0.094443,9.999959,0.104443,0.700175,3.111888,6.993007,6.282326
0.005000,0.097983,9.999956,0.107983,0.715909,3.146853,6.993007,6.282294
0.005000,0.101602,9.999953,0.111602,0.731818,3.181818,6.993007,6.282262
0.005000,0.105302,9.999949,0.115302,0.747902,3.216783,6.993007,6.282229
0.005000,0.109082,9.999946,0.119082,0.764161,3.251748,6.993007,6.282195
0.005000,0.112944,9.999942,0.122944,0.780594,3.286713,6.993007,6.282160
0.005000,0.116888,9.999938,0.126888,0.797203,3.321678,6.993007,6.282125
0.005000,0.120916,9.999933,0.130916,0.813986,3.356643,6.993007,6.282089
0.005000,0.125028,9.999929,0.135028,0.830944,3.391608,6.993007,6.282053
0.005000,0.129226,9.999924,0.139226,0.848077,3.426573,6.993007,6.282016
0.005000,0.133510,9.999919,0.143510,0.865385,3.461538,6.993007,6.281978
0.005000,0.137880,9.999913,0.147880,0.882867,3.496503,6.993007,6.281939
0.005000,0.142339,9.999908,0.152339,0.900524,3.531469,6.993007,6.281899
0.005000,0.146886,9.999902,0.156886,0.918357,3.566434,6.993007,6.281859
0.005000,0.151523,9.999896,0.161523,0.936364,3.601399,6.993007,6.281818
0.005000,0.156250,9.999889,0.166250,0.954545,3.636364,6.993007,6.281777
0.005000,0.161069,9.999882,0.171069,0.972902,3.671329,6.993007,6.281734
