dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.000100,8.920000,0.000000,0.000175,0.034965,6.993007,0.000092
0.005000,0.000100,8.920000,0.000000,0.000003,-0.034266,-13.846166,0.000092
0.005000,0.000100,8.920000,0.000000,0.000008,0.000874,7.027969,0.000092
0.005000,0.000100,8.920000,0.000001,0.000014,0.001224,0.069923,0.000092
0.005000,0.000100,8.920000,0.000001,0.000022,0.001573,0.069922,0.000092
0.005000,0.000099,8.920000,0.000001,0.000031,0.001923,0.069920,0.000092
0.005000,0.000099,8.920000,0.000001,0.000043,0.002272,0.069917,0.000092
0.005000,0.000099,8.920000,0.000001,0.000056,0.002622,0.069913,0.000092
0.005000,0.000099,8.920000,0.000002,0.000071,0.002972,0.069908,0.000091
0.005000,0.000098,8.920000,0.000002,0.000087,0.003321,0.069902,0.000091
0.005000,0.000098,8.920000,0.000003,0.000106,0.003671,0.069893,0.000090
0.005000,0.000097,8.920000,0.000003,0.000126,0.004020,0.069883,0.000090
0.005000,0.000096,8.920000,0.000004,0.000148,0.004369,0.069871,0.000089
0.005000,0.000095,8.920000,0.000005,0.000171,0.004719,0.069857,0.000088
0.005000,0.000094,8.920000,0.000006,0.000197,0.005068,0.069840,0.000087
0.005000,0.000093,8.920000,0.000007,0.000224,0.005417,0.069821,0.000086
0.005000,0.000092,8.920000,0.000008,0.000253,0.005766,0.069799,0.000085
0.005000,0.000091,8.920000,0.000010,0.000283,0.006115,0.069774,0.000084
0.005000,0.000089,8.920000,0.000011,0.000315,0.006464,0.069746,0.000082
0.005000,0.000087,8.920000,0.000013,0.000349,0.006812,0.069715,0.000081
0.005000,0.000085,8.920000,0.000015,0.000385,0.007160,0.069680,0.000079
0.005000,0.000083,8.920000,0.000017,0.000423,0.007509,0.069641,0.000077
0.005000,0.000081,8.920000,0.000019,0.000462,0.007857,0.069599,0.000075
0.005000,0.000078,8.920000,0.000022,0.000503,0.008204,0.069553,0.000073
0.005000,0.000076,8.920000,0.000025,0.000546,0.008552,0.069502,0.000070
0.005000,0.000073,8.920000,0.000028,0.000590,0.008899,0.069447,0.000067
0.005000,0.000070,8.920000,0.000031,0.000637,0.009246,0.069388,0.000064
0.005000,0.000066,8.920000,0.000034,0.000685,0.009593,0.069324,0.000061
0.005000,0.000062,8.920000,0.000038,0.000734,0.009939,0.069255,0.000058
0.005000,0.000059,8.920000,0.000042,0.000786,0.010285,0.069180,0.000054
0.005000,0.000054,8.920000,0.000046,0.000839,0.010630,0.069101,0.000050
0.005000,0.000050,8.920000,0.000050,0.000894,0.010976,0.069016,0.000046
0.005000,0.000045,8.920000,0.000055,0.000950,0.011320,0.068925,0.000042
0.005000,0.000040,8.920000,0.000060,0.001009,0.011664,0.068828,0.000037
0.005000,0.000035,8.920000,0.000066,0.001069,0.012008,0.068726,0.000032
0.005000,0.000029,8.920000,0.000071,0.001130,0.012351,0.068617,0.000027
0.005000,0.000023,8.920000,0.000077,0.001194,0.012693,0.068502,0.000021
0.005000,0.000017,8.920000,0.000083,0.001259,0.013035,0.068380,0.000016
0.005000,0.000010,8.920000,0.000090,0.001326,0.013377,0.068251,0.000009
0.005000,0.000003,8.920000,0.000097,0.001395,0.013717,0.068116,0.000003
0.005000,0.000407,8.920000,0.000501,0.080790,15.879160,3173.088553,6.283182
0.005000,0.001170,8.920000,0.001264,0.152659,14.373716,-301.088871,6.283174
0.005000,0.001971,8.920000,0.002064,0.160015,1.471279,-2580.487240,6.283167
0.005000,0.002808,8.920000,0.002902,0.167545,1.505907,6.925507,6.283159
0.005000,0.003685,8.920000,0.003778,0.175248,1.540535,6.925680,6.283151
0.005000,0.004600,8.920000,0.004694,0.183123,1.575165,6.925861,6.283142
0.005000,0.005556,8.920000,0.005650,0.191172,1.609795,6.926051,6.283134
0.005000,0.006553,8.920000,0.006647,0.199394,1.644426,6.926248,6.283124
0.005000,0.007592,8.920000,0.007686,0.207790,1.679058,6.926455,6.283115
0.005000,0.008674,8.920000,0.008768,0.216358,1.713692,6.926670,6.283105
0.005000,0.009799,8.920000,0.009893,0.225100,1.748326,6.926894,6.283094
0.005000,0.010969,8.919999,0.011063,0.234015,1.782962,6.927055,6.283083
0.005000,0.012185,8.919999,0.012279,0.243103,1.817599,6.927433,6.283072
0.005000,0.013447,8.919999,0.013540,0.252364,1.852237,6.927630,6.283060
0.005000,0.014756,8.919999,0.014849,0.261798,1.886876,6.927885,6.283048
0.005000,0.016113,8.919999,0.016206,0.271406,1.921517,6.928157,6.283035
0.005000,0.017519,8.919999,0.017612,0.281187,1.956159,6.928439,6.283022
0.005000,0.018974,8.919998,0.019068,0.291141,1.990803,6.928731,6.283009
